# delta neff CL
0.243 -2.37867 0
0.243 -2.376 0
0.243 -2.37333 0
0.243 -2.37067 1.14771e-12
0.243 -2.368 5.38133e-11
0.243 -2.36533 3.81529e-09
0.243 -2.36267 1.51421e-07
0.243 -2.36 3.38113e-06
0.243 -2.35733 3.88482e-05
0.243 -2.35467 2.74924e-05
0.243 -2.352 8.88821e-05
0.243 -2.34933 0.000131389
0.243 -2.34667 0
0.243 -2.344 0
0.243 -2.34133 0
0.243 -2.33867 0
0.243 -2.336 0
0.243 -2.33333 0
0.243 -2.33067 0
0.243 -2.328 0
0.243 -2.32533 0
0.243 -2.32267 0
0.243 -2.32 0
0.243 -2.31733 0
0.243 -2.31467 0
0.243 -2.312 0
0.243 -2.30933 0
0.243 -2.30667 0
0.243 -2.304 0
0.243 -2.30133 0
0.249 -2.37867 0
0.249 -2.376 0
0.249 -2.37333 0
0.249 -2.37067 2.5423e-12
0.249 -2.368 2.9202e-10
0.249 -2.36533 9.40664e-09
0.249 -2.36267 3.62733e-07
0.249 -2.36 7.96662e-06
0.249 -2.35733 9.238e-05
0.249 -2.35467 0.00049798
0.249 -2.352 0.000919298
0.249 -2.34933 0.00166438
0.249 -2.34667 0.00268816
0.249 -2.344 0.00370175
0.249 -2.34133 7.50129e-05
0.249 -2.33867 8.35542e-06
0.249 -2.336 2.21391e-06
0.249 -2.33333 0
0.249 -2.33067 0
0.249 -2.328 0
0.249 -2.32533 0
0.249 -2.32267 0
0.249 -2.32 0
0.249 -2.31733 0
0.249 -2.31467 0
0.249 -2.312 0
0.249 -2.30933 0
0.249 -2.30667 0
0.249 -2.304 0
0.249 -2.30133 0
0.255 -2.37867 0
0.255 -2.376 0
0.255 -2.37333 0
0.255 -2.37067 4.64467e-12
0.255 -2.368 5.08681e-10
0.255 -2.36533 3.22064e-08
0.255 -2.36267 7.14131e-07
0.255 -2.36 1.55516e-05
0.255 -2.35733 0.000182566
0.255 -2.35467 0.00101685
0.255 -2.352 0.00610804
0.255 -2.34933 0.00536397
0.255 -2.34667 0.00769827
0.255 -2.344 0.0103454
0.255 -2.34133 0.00656042
0.255 -2.33867 0.00151529
0.255 -2.336 0.000659849
0.255 -2.33333 0.000222752
0.255 -2.33067 9.73191e-06
0.255 -2.328 1.5023e-07
0.255 -2.32533 4.44694e-09
0.255 -2.32267 7.71758e-10
0.255 -2.32 0
0.255 -2.31733 0
0.255 -2.31467 0
0.255 -2.312 0
0.255 -2.30933 0
